Pair,Gap
224,3.899999999923409e-05
225,4.099999999951365e-05
226,2.5000000000829914e-05
227,3.899999999923409e-05
228,3.900000000101045e-05
229,2.5000000000829914e-05
230,4.099999999951365e-05
231,4.099999999951365e-05
232,2.5000000000829914e-05
233,4.099999999951365e-05
234,3.899999999923409e-05
235,4.1000000001290005e-05
236,2.5000000000829914e-05
237,4.099999999951365e-05
238,2.5000000000829914e-05
239,4.099999999951365e-05
240,3.899999999923409e-05
241,2.5000000000829914e-05
242,4.099999999951365e-05
243,4.1000000001290005e-05
244,3.899999999923409e-05
245,2.5000000000829914e-05
246,3.899999999923409e-05
247,4.099999999951365e-05
248,3.900000000101045e-05
249,4.099999999951365e-05
250,2.5000000000829914e-05
251,3.899999999923409e-05
252,3.900000000101045e-05
253,4.1000000001290005e-05
254,3.899999999923409e-05
255,3.900000000101045e-05
256,2.5000000000829914e-05
257,3.899999999923409e-05
258,3.899999999923409e-05
259,3.900000000101045e-05
260,3.899999999923409e-05
261,3.900000000101045e-05
262,4.099999999951365e-05
263,3.900000000101045e-05
264,4.099999999951365e-05
265,2.4999999999053557e-05
266,3.899999999923409e-05
267,4.1000000001290005e-05
268,2.5000000000829914e-05
269,4.099999999951365e-05
270,3.899999999923409e-05
271,3.900000000101045e-05
272,4.1000000001290005e-05
273,2.5000000000829914e-05
274,2.4999999999053557e-05
275,2.5000000000829914e-05
276,3.900000000101045e-05
277,2.5000000000829914e-05
278,4.099999999951365e-05
279,2.4999999999053557e-05
280,4.099999999951365e-05
281,3.899999999923409e-05
282,3.900000000101045e-05
283,4.099999999951365e-05
284,3.900000000101045e-05
285,2.4999999999053557e-05
286,4.099999999951365e-05
287,3.900000000101045e-05
288,4.1000000001290005e-05
289,2.4999999999053557e-05
290,4.1000000001290005e-05
291,3.900000000101045e-05
292,3.900000000101045e-05
293,4.099999999951365e-05
294,3.900000000101045e-05
295,2.5000000000829914e-05
296,3.899999999923409e-05
297,2.5000000000829914e-05
298,2.5000000000829914e-05
299,4.099999999951365e-05
300,4.099999999951365e-05
301,4.1000000001290005e-05
302,3.899999999923409e-05
303,4.099999999951365e-05
304,3.899999999923409e-05
305,3.900000000101045e-05
306,2.4999999999053557e-05
307,4.1000000001290005e-05
308,2.4999999999053557e-05
309,4.1000000001290005e-05
310,2.5000000000829914e-05
311,4.099999999951365e-05
312,3.900000000101045e-05
313,2.4999999999053557e-05
314,4.1000000001290005e-05
315,3.900000000101045e-05
316,2.4999999999053557e-05
317,2.4999999999053557e-05
318,2.5000000000829914e-05
319,3.899999999923409e-05
320,2.5000000000829914e-05
321,3.899999999923409e-05
322,4.099999999951365e-05
323,2.4999999999053557e-05
324,3.900000000101045e-05
325,2.5000000000829914e-05
326,2.4999999999053557e-05
327,3.899999999923409e-05
328,4.099999999951365e-05
329,2.5000000000829914e-05
330,3.900000000101045e-05
331,4.1000000001290005e-05
332,2.5000000000829914e-05
333,3.900000000101045e-05
334,3.899999999923409e-05
335,3.900000000101045e-05
336,4.099999999951365e-05
337,2.4999999999053557e-05
338,2.5000000000829914e-05
339,4.099999999951365e-05
340,2.5000000000829914e-05
341,4.099999999951365e-05
342,3.900000000101045e-05
343,4.099999999951365e-05
344,2.4999999999053557e-05
345,4.099999999951365e-05
346,4.099999999951365e-05
347,3.899999999923409e-05
348,4.099999999951365e-05
349,4.099999999951365e-05
350,2.5000000000829914e-05
351,4.1000000001290005e-05
352,2.4999999999053557e-05
353,4.099999999951365e-05
354,2.5000000000829914e-05
355,4.099999999951365e-05
356,4.099999999951365e-05
357,2.5000000000829914e-05
358,4.099999999951365e-05
359,3.900000000101045e-05
360,3.899999999923409e-05
361,2.5000000000829914e-05
362,4.1000000001290005e-05
363,3.899999999923409e-05
364,2.4999999999053557e-05
365,3.900000000101045e-05
366,4.099999999951365e-05
367,3.900000000101045e-05
368,2.5000000000829914e-05
369,3.900000000101045e-05
370,4.099999999951365e-05
371,4.099999999951365e-05
372,2.5000000000829914e-05
373,3.899999999923409e-05
374,4.1000000001290005e-05
375,3.899999999923409e-05
376,3.900000000101045e-05
377,2.5000000000829914e-05
378,3.899999999923409e-05
379,4.099999999951365e-05
380,3.900000000101045e-05
381,4.099999999951365e-05
382,4.099999999951365e-05
383,2.5000000000829914e-05
384,4.099999999951365e-05
385,3.899999999923409e-05
386,3.899999999923409e-05
387,2.5000000000829914e-05
388,3.900000000101045e-05
389,2.5000000000829914e-05
390,4.099999999951365e-05
391,2.5000000000829914e-05
392,3.899999999923409e-05
393,2.4999999999053557e-05
394,4.099999999951365e-05
395,2.5000000000829914e-05
396,4.099999999951365e-05
397,2.5000000000829914e-05
398,3.899999999923409e-05
399,4.099999999951365e-05
400,2.5000000000829914e-05
401,2.5000000000829914e-05
402,3.899999999923409e-05
403,4.099999999951365e-05
404,2.5000000000829914e-05
405,4.099999999951365e-05
406,3.899999999923409e-05
407,2.5000000000829914e-05
408,3.900000000101045e-05
409,2.5000000000829914e-05
410,3.900000000101045e-05
411,2.4999999999053557e-05
412,3.900000000101045e-05
413,4.1000000001290005e-05
414,2.4999999999053557e-05
415,4.099999999951365e-05
416,3.899999999923409e-05
417,3.899999999923409e-05
418,2.5000000000829914e-05
419,3.899999999923409e-05
420,2.5000000000829914e-05
421,4.099999999951365e-05
422,3.899999999923409e-05
423,2.4999999999053557e-05
424,3.899999999923409e-05
425,2.4999999999053557e-05
426,4.1000000001290005e-05
427,3.899999999923409e-05
428,3.899999999923409e-05
429,4.099999999951365e-05
430,4.1000000001290005e-05
431,3.899999999923409e-05
432,4.099999999951365e-05
433,3.900000000101045e-05
434,2.4999999999053557e-05
435,4.1000000001290005e-05
436,3.900000000101045e-05
437,3.899999999923409e-05
438,2.4999999999053557e-05
439,4.099999999951365e-05
440,4.099999999951365e-05
441,3.899999999923409e-05
442,3.899999999923409e-05
443,4.1000000001290005e-05
444,2.5000000000829914e-05
445,4.099999999951365e-05
446,3.900000000101045e-05
447,4.099999999951365e-05
448,4.099999999951365e-05
449,4.099999999951365e-05
450,2.4999999999053557e-05
451,4.1000000001290005e-05
452,3.899999999923409e-05
453,4.099999999951365e-05
454,2.5000000000829914e-05
455,3.899999999923409e-05
456,4.099999999951365e-05
457,2.4999999999053557e-05
458,4.1000000001290005e-05
459,4.099999999951365e-05
460,4.099999999951365e-05
461,2.5000000000829914e-05
462,3.900000000101045e-05
463,2.5000000000829914e-05
464,2.4999999999053557e-05
465,3.900000000101045e-05
466,3.899999999923409e-05
467,2.4999999999053557e-05
468,3.900000000101045e-05
469,2.5000000000829914e-05
470,3.899999999923409e-05
471,2.4999999999053557e-05
472,3.899999999923409e-05
473,2.5000000000829914e-05
474,4.099999999951365e-05
475,2.4999999999053557e-05
476,4.099999999951365e-05
477,2.5000000000829914e-05
478,4.099999999951365e-05
479,2.5000000000829914e-05
480,3.900000000101045e-05
481,2.4999999999053557e-05
482,2.5000000000829914e-05
483,2.4999999999053557e-05
484,3.899999999923409e-05
485,2.5000000000829914e-05
486,4.099999999951365e-05
487,2.49999999972772e-05
488,4.099999999951365e-05
489,3.900000000101045e-05
490,4.099999999951365e-05
491,2.5000000000829914e-05
492,2.49999999972772e-05
493,3.900000000101045e-05
494,4.099999999951365e-05
495,2.5000000000829914e-05
496,3.900000000101045e-05
497,2.49999999972772e-05
498,3.900000000101045e-05
499,3.8999999997457735e-05
500,1.2000000001677336e-05
